,时间间隔,收盘,开盘,最高,最低
1935,14:00 - 14:30,21788.14,21788.14,21788.14,21788.14
1948,14:00 - 14:30,22052.18,22052.18,22052.18,22052.18
1961,14:00 - 14:30,22196.89,22196.89,22196.89,22196.89
1974,14:00 - 14:30,21932.21,21932.21,21932.21,21932.21
1987,14:00 - 14:30,22187.96,22187.96,22187.96,22187.96
2000,14:00 - 14:30,22597.35,22597.35,22597.35,22597.35
2013,14:00 - 14:30,22697.36,22697.36,22697.36,22697.36
2026,14:00 - 14:30,22794.19,22794.19,22794.19,22794.19
2039,14:00 - 14:30,22764.68,22764.68,22764.68,22764.68
2052,14:00 - 14:30,22697.88,22697.88,22697.88,22697.88
2065,14:00 - 14:30,22396.99,22396.99,22396.99,22396.99
2078,14:00 - 14:30,22510.48,22510.48,22510.48,22510.48
2091,14:00 - 14:30,22614.25,22614.25,22614.25,22614.25
2104,14:00 - 14:30,22586.87,22586.87,22586.87,22586.87
2117,14:00 - 14:30,22712.75,22712.75,22712.75,22712.75
2130,14:00 - 14:30,22544.84,22544.84,22544.84,22544.84
2143,14:00 - 14:30,22553.72,22553.72,22553.72,22553.72
2156,14:00 - 14:30,22746.7,22746.7,22746.7,22746.7
2169,14:00 - 14:30,22512.53,22512.53,22512.53,22512.53
2182,14:00 - 14:30,22525.18,22525.18,22525.18,22525.18
2195,14:00 - 14:30,22507.32,22507.32,22507.32,22507.32
2208,14:00 - 14:30,22662.74,22662.74,22662.74,22662.74
2221,14:00 - 14:30,22644.31,22644.31,22644.31,22644.31
2234,14:00 - 14:30,22598.39,22598.39,22598.39,22598.39
2247,14:00 - 14:30,22298.08,22298.08,22298.08,22298.08
2260,14:00 - 14:30,21857.43,21857.43,21857.43,21857.43
2273,14:00 - 14:30,22356.08,22356.08,22356.08,22356.08
2286,14:00 - 14:30,22204.22,22204.22,22204.22,22204.22
2299,14:00 - 14:30,22192.04,22192.04,22192.04,22192.04
2312,14:00 - 14:30,22270.38,22270.38,22270.38,22270.38
2325,14:00 - 14:30,22199.0,22199.0,22199.0,22199.0
2338,14:00 - 14:30,22219.73,22219.73,22219.73,22219.73
2351,14:00 - 14:30,22362.55,22362.55,22362.55,22362.55
2364,14:00 - 14:30,22410.82,22410.82,22410.82,22410.82
2377,14:00 - 14:30,22601.77,22601.77,22601.77,22601.77
2390,14:00 - 14:30,22799.64,22799.64,22799.64,22799.64
2403,14:00 - 14:30,22813.47,22813.47,22813.47,22813.47
2416,14:00 - 14:30,22848.22,22848.22,22848.22,22848.22
2429,14:00 - 14:30,22869.5,22869.5,22869.5,22869.5
2442,14:00 - 14:30,22865.15,22865.15,22865.15,22865.15
2455,14:00 - 14:30,22707.38,22707.38,22707.38,22707.38
2468,14:00 - 14:30,22696.9,22696.9,22696.9,22696.9
2481,14:00 - 14:30,22580.83,22580.83,22580.83,22580.83
2494,14:00 - 14:30,22487.94,22487.94,22487.94,22487.94
2507,14:00 - 14:30,22307.06,22307.06,22307.06,22307.06
2520,14:00 - 14:30,22373.09,22373.09,22373.09,22373.09
2533,14:00 - 14:30,22664.69,22664.69,22664.69,22664.69
2546,14:00 - 14:30,22604.61,22604.61,22604.61,22604.61
2559,14:00 - 14:30,22821.32,22821.32,22821.32,22821.32
2572,14:00 - 14:30,23094.67,23094.67,23094.67,23094.67
2585,14:00 - 14:30,23420.54,23420.54,23420.54,23420.54
2598,14:00 - 14:30,23672.52,23672.52,23672.52,23672.52
